query,KO,taxon,score
g2236.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205180WA,91.2781
g2437.t1,K11676,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208720WA,182.956
g5834.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,95.9005
g6250.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C405380CA,85.1149
g7368.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703290CA,253.447
g2508.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,456.447
g1158.t1,K07512,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300200CA,50.8322
g223.t1,K10991,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107980CA,108.227
g2139.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202220CA,88.1965
g676.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR08510WA,96.2857
g3457.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402920WA,76.2553
g3969.t1,K11568,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR06160CA,79.3369
g7368.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,229.95
g6542.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400100CA,143.28
g6992.t1,K08712,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603840CA,56.9954
g4368.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C100970WA,60.8474
g5909.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00270CA,108.997
g5318.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C403290WA,776.933
g7869.t1,None,Fungi | Ascomycetes | Eurotiomycetes | aor:AO090005001486,265.003
g7456.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504140WA,166.777
g6419.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406980WA,363.229
g4515.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,96.6709
g7373.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210330CA,108.227
g4598.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR01470WA,233.802
g5271.t1,K28103,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400820WA,56.225
g1772.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210000CA,90.8929
g3826.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604300WA,97.0561
g2092.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202260WA,184.882
g4123.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02930WA,205.297
g6990.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603950CA,272.322
g5889.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,78.1814
g6390.t1,K10881,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406880CA,70.8626
g2845.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207700CA,77.0257
g5993.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601560WA,67.0106
g7313.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,437.187
g3227.t1,K11778,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505330CA,60.8474
g365.t1,K11501,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603420WA,168.703
g2303.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205870WA,74.3294
g311.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307680WA,133.65
g2206.t1,K11099,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203880CA,112.079
g2723.t1,K17773,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C106640CA,92.4337
g991.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,53.5286
g7565.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C305990CA,162.925
g1943.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C110350CA,192.2
g6179.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105440CA,60.4622
g5385.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307680WA,135.576
g560.t1,K11244,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602670CA,76.2553
g5305.t1,K18694,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602420WA,71.2478
g4958.t1,K01426,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702920WA,53.1434
g7017.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,82.0333
g2475.t1,K15255,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00060CA,67.781
g4830.t1,K17974,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_E06029g,73.1738
g3219.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306520CA,81.2629
g3777.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505440CA,65.0846
g79.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502430WA,440.269
g7907.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701010WA,63.929
g961.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,50.0618
g7037.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,288.115
g2670.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702540WA,79.7221
g2671.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,143.665
g7025.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,68.5514
g4345.t1,K15140,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C101280CA,134.806
g6297.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C404220WA,81.2629
g1431.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104720WA,89.3521
g3723.t1,K06005,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203670WA,77.0257
g3830.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05960WA,95.1301
g60.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602200CA,70.8626
g768.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,167.548
g6341.t1,K23887,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406530CA,889.026
g1237.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C304410CA,269.626
g3218.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306520CA,80.8777
g6431.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600080CA,171.014
g2969.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109570WA,87.4261
g6127.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,99.7525
g1175.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,63.1586
g909.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C103660WA,121.324
g2619.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703410CA,104.375
g254.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107150WA,78.5666
g7660.t1,K15255,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00060CA,134.035
g2692.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C111410CA,87.4261
g1300.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,194.126
g433.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401960CA,244.202
g1689.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,179.489
g2586.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105790WA,88.9669
g390.t1,K21156,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603580WA,51.2174
g199.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107610CA,73.559
g1029.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C304410CA,116.701
g7314.t1,K11771,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400300CA,128.257
g813.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,196.823
g2766.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,117.472
g1530.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200640WA,88.1965
g1370.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505240CA,51.2174
g2538.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,285.419
g7462.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505360CA,64.3142
g1127.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,132.88
g4254.t1,K23788,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604470CA,93.2041
g2474.t1,K15255,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_5G13370,59.3066
g7482.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208330WA,125.946
g6322.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406260WA,170.244
g712.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR07260CA,143.665
g2816.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602090CA,72.0182
g859.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C103840WA,77.7962
g7845.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C700040CA,84.3445
g6956.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C404790WA,389.037
g3716.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307760CA,458.759
g3731.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,880.167
g7680.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504970CA,225.328
g2954.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,200.675
g100.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,260.381
g6758.t1,K22243,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302580CA,116.316
g7050.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108530WA,107.457
g2971.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,62.003
g4663.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,95.9005
g3721.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,79.7221
g8115.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,105.916
g4505.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00140WA,53.5286
g4369.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C100980WA,80.4925
g3911.t1,K10992,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05580CA,148.288
g3642.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307860CA,65.855
g6272.t1,K13113,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C405040WA,135.576
g1030.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C304410CA,111.694
g3456.t1,K16073,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302370CA,79.7221
g18.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,96.2857
g1417.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104910CA,388.652
g5120.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301750CA,65.855
g3036.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502310CA,167.548
g3102.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,102.449
g7035.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,214.542
g5025.t1,K01426,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702920WA,53.1434
g4116.t1,K01918,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02580WA,472.626
g1523.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200640WA,88.5817
g7735.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,258.84
g8134.t1,K11126,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108130CA,575.859
g2428.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208060WA,125.561
g3898.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04610CA,633.254
g5998.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601560WA,67.0106
g2072.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202750CA,85.8853
g5036.t1,K12619,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401080WA,139.813
g6746.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302870CA,689.493
g1152.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C704000WA,96.6709
g5001.t1,K03508,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209480WA,189.504
g6478.t2,K06269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603830WA,59.6918
g7441.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109570WA,184.496
g5268.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,161.77
g99.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,259.61
g7088.t1,K14547,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300330WA,142.895
g6569.t1,K13181,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_F15752g,64.6994
g3011.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502110WA,128.257
g1871.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,179.489
g4942.t1,K03869,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00370WA,115.161
g760.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104350CA,173.326
g1613.t2,K14715,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300390WA,205.297
g3534.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C100370WA,119.398
g6195.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603570WA,108.612
g4721.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,55.4546
g4800.t1,K04567,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701870WA,87.8113
g4549.t1,K19791,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600460CA,55.0694
g322.t1,None,Animals | Mammals | Rodentia | rno:120099830,50.0618
g8168.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108900WA,645.195
g7782.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200650WA,1228.77
g7039.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400600CA,127.487
g8233.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C110740CA,97.0561
g2301.t1,K25662,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205900WA,188.348
g4826.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301750CA,63.929
g2628.t1,K22063,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602520WA,57.7658
g3639.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210020CA,51.9878
g2739.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C106440CA,211.075
g6978.t1,K08712,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603840CA,54.299
g2578.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105900WA,177.178
g1136.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505240CA,86.2705
g1779.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209820WA,67.3958
g6924.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602760WA,63.1586
g4419.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,114.775
g3878.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04840CA,108.612
g4300.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,135.191
g6043.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600800CA,116.316
g1116.t1,K17799,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303820CA,114.39
g4287.t1,K02863,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500030WA,93.9745
g7716.t1,K20131,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602630CA,58.5362
g8012.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603220WA,111.309
g3637.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500050WA,116.316
g2867.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207930CA,140.198
g6828.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09560CA,366.696
g4754.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207110CA,647.121
g7538.t1,K03457,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303140CA,955.281
g338.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602090CA,58.151
g5061.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302870CA,122.479
g1303.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601080CA,64.3142
g7878.t1,K17440,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702120CA,133.65
g58.t1,K08836,Animals | Birds | Galliformes | gga:423878,54.299
g1218.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303490WA,78.9517
g7604.t1,None,Plants | Eudicots | Solanaceae | sly:104647491,80.4925
g4887.t1,K14559,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200070CA,627.091
g6440.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500250CA,69.707
g2629.t1,K22382,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703240WA,59.3066
g7801.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,339.732
g2834.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109570WA,73.9442
g2236.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205180WA,97.0561
g7144.t1,K18278,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09290WA,603.594
g6504.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500730WA,64.6994
g4440.t1,K15458,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703010WA,52.7582
g5041.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,57.3806
g2707.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C111270WA,73.1738
g3272.t1,K15278,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209700WA,340.502
g8007.t1,K04567,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701870WA,54.6842
g6812.t1,K01455,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302060WA,743.421
g2968.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,227.254
g3361.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303740WA,85.5001
g5363.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600070CA,121.324
g399.t1,K08838,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602160WA,181.8
g5464.t1,K11885,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C114420WA,427.172
g2486.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,53.9138
g1195.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,254.218
g3180.t1,K20061,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603180CA,57.7658
g2174.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C201760CA,83.9593
g6067.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00890CA,78.5666
g5134.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,78.1814
g5241.t1,K12619,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401080WA,139.813
g7194.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09930WA,169.474
g3462.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402920WA,76.2553
g4641.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400100CA,80.8777
g615.t1,None,Animals | Fishes | Beloniformes | ola:105355454,54.299
g2298.t2,K02269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205930WA,97.0561
g1674.t1,K03844,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602270CA,165.622
g810.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603280WA,98.2117
g7374.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210330CA,96.6709
g744.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,207.608
g5252.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,117.857
g6591.t1,K00419,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402890CA,79.3369
g7029.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,233.417
g3363.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C102210WA,60.8474
g6044.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600800CA,107.071
g2935.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600980CA,129.413
g3941.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05760CA,363.229
g7124.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09070CA,279.641
g1803.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C704000WA,63.5438
g812.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,197.208
g204.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107560WA,159.073
g4840.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,457.603
g5964.t1,None,Animals | Fishes | Beloniformes | ola:105356774,130.954
g4525.t1,K03844,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602270CA,166.392
g3214.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,99.7525
g1515.t1,K13181,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_F15752g,60.8474
g2488.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,52.373
g6901.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401000CA,50.0618
g5046.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,136.732
g2975.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,1365.52
g6961.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C404400CA,84.3445
g2986.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C503430WA,53.9138
g2678.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,2065.04
g3626.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505360CA,66.6254
g4649.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,136.732
g8100.t1,K03325,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406890WA,163.696
g6425.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C704000WA,123.25
